Date,Temperature,Relative Humidity,Wind Speed,Precipitation,Pressure,Generated
21/03/2016,27.54,80.75,0.83,0,1001.53,20.70679166
22/03/2016,26.98,82.25,0.33,0,1002.19,7.36645833
23/03/2016,27.56,72,0.7,0,1001.07,21.73416666
24/03/2016,27.8,67.75,0.63,8.8,1000.54,15.37829166
25/03/2016,27.72,72.5,0.66,1.6,1000.48,21.12558333
26/03/2016,27.8,81,0.83,0.8,1000.67,12.40975
27/03/2016,26.4,75.5,0.83,0,1000.45,26.38654166
28/03/2016,26.58,79,0.26,1.4,1000.07,10.57208333
29/03/2016,26,81.25,0.83,2.6,1001.58,5.38495833
30/03/2016,26.24,79.25,0.36,6.4,1002.69,4.087875
31/03/2016,26.86,79.75,0.75,21.6,1002.6,7.26316666
01/04/2016,25.9,87,0.43,2.3580661075481006,1001.29,2.35158333
02/04/2016,25.38,91,0.43,2.3580661075481006,1000.06,1.29575
03/04/2016,24.7,89.25,0.13,2.3580661075481006,1001.2,0.29104166
04/04/2016,26.84,80,0.5,2.3580661075481006,1002.25,0.79975
05/04/2016,26.54,89.25,0.43,2.3580661075481006,1001.99,3.69758333
06/04/2016,25.56,88,0.76,2.3580661075481006,1000.6,0.56516666
07/04/2016,25.38,88.75,0.53,2.3580661075481006,1000.63,1.97745833
08/04/2016,26.9,84,1.16,2.3580661075481006,1000.41,7.26716666
09/04/2016,26.46,81,0.83,2.3580661075481006,999.76,12.29729166
10/04/2016,27.04,80.5,0.66,2.3580661075481006,999.2,32.00391666
11/04/2016,25.72,89.25,0.33,2.3580661075481006,999.69,8.15983333
12/04/2016,25.94,78,0.66,2.3580661075481006,999.88,10.80454166
13/04/2016,26.44,77.25,0.43,2.3580661075481006,1000.31,9.19225
14/04/2016,27.32,81,0.66,2.3580661075481006,1000.54,6.77141666
15/04/2016,27,79.25,0.2,2.3580661075481006,1000.7,10.119875
16/04/2016,26.64,88,0.2,2.3580661075481006,1000.65,4.73891666
17/04/2016,26.82,79.75,0.3,2.6,1001,10.985
18/04/2016,27.04,84.25,0.66,0,1000.71,10.86254166
19/04/2016,27.16,75.25,0.56,1.6,1000.09,18.54641666
20/04/2016,27.84,74.75,0.6,0,999.43,14.8925
21/04/2016,26.88,78.75,0.4,4.2,999.69,14.03291666
22/04/2016,25.04,92.5,0.5,4.8,1001.8,27.35925
23/04/2016,26.76,81.75,0.83,4.2,1000,15.44216666
24/04/2016,26.98,79.5,0.5,0,999.17,33.51645833
25/04/2016,27.14,77,0.56,0,998.4,26.11583333
26/04/2016,27.2,81,0.83,0,998.99,5.053875
27/04/2016,27.5,76.75,0.66,0,999.89,21.86708333
28/04/2016,26.8,73,1,0,999.57,40.473
29/04/2016,26.72,78.5,0.43,0,999.42,38.00341666
30/04/2016,27.18,73.5,0.3,0,999.69,15.50104166
01/05/2016,27.1,80.5,0.83,0,1000.31,17.78729166
02/05/2016,26.4,86.25,0.83,0,1001.24,9.734125
03/05/2016,26.06,87.5,0.5,2.8,1001.69,1.462125
04/05/2016,27.22,73.5,0.7,0,1001.4,21.96716666
05/05/2016,26.58,79.75,0.53,0,1002.16,15.82770833
06/05/2016,26.8,81.25,1.16,0,1002.16,9.28320833
07/05/2016,27.66,73.75,1,0,1001.13,11.04704166
08/05/2016,27.5,75.25,0.83,0.4,999.97,13.3
09/05/2016,26.7,89.25,0.53,0,1000.79,16.605625
10/05/2016,27.28,78.25,0.66,20.6,1001.22,20.738375
11/05/2016,26.64,91,0.33,0.4,1001.73,13.870625
12/05/2016,25.96,86.5,0.66,6,1002.43,20.09570833
13/05/2016,27.2,80,0.33,3.4,1002.53,22.70366666
14/05/2016,26.56,92,0.36,0,1003.07,15.54395833
15/05/2016,26.98,84.75,0.3,0.4,1002.63,19.00129166
16/05/2016,27.36,75,0.83,2.8,1002.86,21.82629166
17/05/2016,27,72,0.33,0,1001.98,25.87158333
18/05/2016,27.02,73.5,0.83,0,1001.2,33.21220833
19/05/2016,27.14,72.25,0.53,0,1001.59,29.86154166
20/05/2016,27.28,66.25,0.66,0,1002.56,28.72020833
21/05/2016,27.48,65,0.83,0,1003.4,28.44320833
22/05/2016,27.44,69.5,0.83,0,1002.86,25.05666666
23/05/2016,27.42,72.5,0.26,0,1003.38,23.1075
24/05/2016,27.44,68.5,0.66,0,1004.03,28.42366666
25/05/2016,27.42,68.25,1.16,0,1002.75,21.36454166
26/05/2016,27.48,73.5,1,0,1001.84,13.66979166
27/05/2016,27.74,72.75,0.5,0,1002.18,16.13508333
28/05/2016,27.58,67.75,0.9,0,1003.03,25.74675
29/05/2016,27.64,70,0.83,0,1002.24,29.44825
30/05/2016,26.82,84.75,0.83,0,1001,16.51829166
31/05/2016,26.1,88,0.3,0,1000.4,4.31420833
01/06/2016,27.72,72.25,0.66,0,1000.09,22.332375
02/06/2016,28.06,70.25,0.43,0,1000.37,24.95241666
03/06/2016,27.48,77.75,0.83,0,1000.87,26.91658333
04/06/2016,27.78,70.25,0.83,1.8,1000.65,29.23229166
05/06/2016,26.16,79,1,0,1001.4,38.191
06/06/2016,26.1,82.75,0.23,0.8,1002.08,19.77591666
07/06/2016,27,73.75,0.66,1.6,1002.65,14.97175
08/06/2016,27.22,69.5,0.43,0,1002.75,29.445125
09/06/2016,27.42,76.75,1.33,0,1003.95,13.84975
10/06/2016,27.14,72.25,0.7,7,1004,16.379625
11/06/2016,27.04,78.75,0.76,0,1005.08,5.295
12/06/2016,27.78,73.5,0.83,2.2,1005.32,10.41933333
13/06/2016,27.64,66,0.83,0,1005.68,21.089625
14/06/2016,26.26,66.5,0.66,0,1005.81,27.586
15/06/2016,27.3,64.75,0.73,0,1005.39,15.76820833
16/06/2016,27.44,64.75,0.76,0,1004.1,9.48804166
17/06/2016,26.9,64.75,0.83,0,1003.04,13.92704166
18/06/2016,26.68,63.5,0.5,0,1003.24,28.73970833
19/06/2016,27.3,62,1.16,0,1003.5,31.39183333
20/06/2016,27.22,65.5,0.93,0,1002.51,32.24875
21/06/2016,27.82,57.75,0.66,0,1002.6,21.164375
22/06/2016,27.72,64.75,1,0,1002.69,19.353875
23/06/2016,28.3,58.5,0.833,0,1003.11,17.989
24/06/2016,27.98,65.5,0.3,0,1002.82,21.72808333
25/06/2016,27.56,61.75,0.73,0,1002.48,31.024875
26/06/2016,27.78,55.25,1,0,1002.78,22.71695833
27/06/2016,27.76,56,0.83,0,1003.98,17.87629166
28/06/2016,27.44,60.75,0.9,0,1003.68,23.51608333
29/06/2016,27.72,57.75,0.66,0,1003.35,22.08766666
30/06/2016,27.08,55,0.83,0,1002.54,18.73183333
01/07/2016,27.66,62,0.65,0,1003.1,26.68691666
02/07/2016,28.28,59,1.25,0,1002.91,26.44933333
03/07/2016,28.88,63,1,0,1003.42,19.3865
04/07/2016,28.24,56,1.5,0,1003.8,35.40554166
05/07/2016,27.58,67,0.65,0,1003.38,33.45283333
06/07/2016,26.32,78,0.75,0,1003.83,17.824125
07/07/2016,28.14,65,0.5,0,1003.48,22.31420833
08/07/2016,27.48,71,1.25,0,1004.49,25.28304166
09/07/2016,26.98,78,0.6,0,1004.48,32.19716666
10/07/2016,27.22,72,1.5,0.2,1003.23,27.46479166
11/07/2016,27.1,76,1.35,0,1002.1,25.96429166
12/07/2016,27.28,70.87581010732539,0.7,0,1002.08,26.019875
13/07/2016,27.38,69,0.65,0,1002.45,28.59975
14/07/2016,27.28,66,1,0,1001.39,35.48779166
15/07/2016,27.74,66,0.55,0,1000.15,29.498125
16/07/2016,27.66,61,1,0,1000.74,24.83808333
17/07/2016,27.6,74,1.1,0,1002.28,33.48970833
18/07/2016,27.44,75,1.1,0,1002.76,26.75358333
19/07/2016,27.7,73,0.9,0,1003.26,27.4395
20/07/2016,27.42,71,0.7,0,1002.62,34.87483333
21/07/2016,27.4,62,0.85,0,1002.7,20.25033333
22/07/2016,26.98,65,1,0,1002.58,22.08375
23/07/2016,27.02,58,1.25,0,1002.76,27.46008333
24/07/2016,27.9,62,1.5,0,1002.3,17.65816666
25/07/2016,28.64,61,1.4,0,1000.83,19.43945833
26/07/2016,27.36,62,1.25,0,1001.78,24.24425
27/07/2016,27.12,66,1.4,0,1002.5,20.22408333
28/07/2016,27.36,65,2,0,1001.25,25.44479166
29/07/2016,27.22,69,1.2,0,1001.78,34.50308333
30/07/2016,28.06,58,1.5,0,1001.76,23.82758333
31/07/2016,28.42,56,0.666667,0,1001.58,28.17916666
01/08/2016,27.64,51.75,0.933333,0,1001.85,31.25929166
02/08/2016,28.12,51.5,1.83,0,1002.86,43.64366666
03/08/2016,28.62,50.5,0.53,0,1002.38,29.93045833
04/08/2016,28.22,54.25,1.33,0,1002.45,35.26529166
05/08/2016,27.86,51.25,0.96,0,1002.98,32.35520833
06/08/2016,27.42,57,1.23,0,1003.38,46.52529166
07/08/2016,27.7,53.75,0.5,0,1003.58,38.29954166
08/08/2016,27.14,62,1.16,0,1003.38,43.70854166
09/08/2016,27.2,61,1,0,1003.41,42.1585
10/08/2016,27.48,61,0.83,0,1002.64,31.762125
11/08/2016,27.8,60.75,0.86,0,1001.66,38.10541666
12/08/2016,27.68,60,1.33,0,1002.23,42.69433333
13/08/2016,27.32,56.75,0.83,0,1002.38,41.40616666
14/08/2016,27.18,54.25,1.83,0,1002.22,54.351
15/08/2016,27.08,60.25,1,0,1001.97,48.77725
16/08/2016,28.14,57.75,1.33,0,1001.94,49.4905
17/08/2016,28,57.5,1.33,0,1001.98,48.60929166
18/08/2016,27.78,56,1.83,0,1002.15,53.697875
19/08/2016,27.8,52,1.5,0,1001.95,46.3575
20/08/2016,27.78,57,0.9,0,1001.99,44.77175
21/08/2016,27.26,65.5,0.93,0,1002.33,50.43441666
22/08/2016,27.98,62.75,1.33,0,1002.56,35.02641666
23/08/2016,28.54,61.25,1.5,0,1002.58,39.96816666
24/08/2016,28.88,52,1.5,0,1002.65,44.46895833
25/08/2016,28.22,52.75,1.66,0,1002.4,44.83608333
26/08/2016,28.1,51.75,1.16,0,1001.22,31.82795833
27/08/2016,27.82,55.75,1.16,0,1001.13,36.78333333
28/08/2016,27.86,58.25,1.33,0,1001.46,45.126
29/08/2016,27.98,52.5,1.5,0,1002.13,50.04983333
30/08/2016,28.36,54.25,1.33,0,1002.3,47.02379166
31/08/2016,29.28,52.25,1.16,0,1001.92,34.79845833
01/09/2016,29.12,59,0.75,0,1001.95,45.22079166
02/09/2016,28.98,53,2,0,1002.2,56.13770833
03/09/2016,28.4,57,1,0,1001.9,50.39208333
04/09/2016,28.44,63,1.25,0,1001.93,47.926625
05/09/2016,28.5,66,1.5,0,1002.48,46.08754166
06/09/2016,28.22,69,1.25,0,1002.44,35.42679166
07/09/2016,28.12,70,1.25,0,1002.2,36.39729166
08/09/2016,28.38,66,1,0,1001.7,37.18108333
09/09/2016,28.12,66,2,0,1002.4,33.23333333
10/09/2016,28.24,64,2.25,0,1003.51,53.34333333
11/09/2016,27.52,76,1.5,0,1003.35,63.48054166
12/09/2016,28.36,64,1.5,0.2,1001.3,50.07158333
13/09/2016,28.52,68,1.25,0,1000.87,42.958625
14/09/2016,28.78,66,1.25,0,1001.71,46.606125
15/09/2016,28.18,63,1.75,0,1002.15,58.03329166
16/09/2016,28.9,64,1.75,0,1002.04,48.89358333
17/09/2016,28.42,65,2.5,0,1002.27,39.59708333
18/09/2016,27.58,65,1.75,0,1002.14,54.18816666
19/09/2016,27.5,66,2,0,1001.41,47.36741666
20/09/2016,27.86,66,1.5,0,1001.03,47.097875
21/09/2016,28,69,1.5,0,1001.31,42.40820833
22/09/2016,28.64,67,2.25,0,1001.72,61.09154166
23/09/2016,28.16,57,2.75,0,1003.46,46.813375
24/09/2016,27.72,59,2.5,0,1002.99,54.25329166
25/09/2016,27.82,64,2.75,0,1000.93,43.61754166
26/09/2016,27.38,72,2.25,0,1000.88,35.93695833
27/09/2016,27.96,73,2.75,0,1001.22,34.57516666
28/09/2016,28.48,71,2.25,0,1001.57,34.055125
29/09/2016,28.12,62,2.25,0,1000.2,41.89579166
30/09/2016,28.6,67,1.5,0,1000.22,48.86520833
01/10/2016,28.58,55.25,1.33,0,1001.13,46.15191666
02/10/2016,28.88,56,2.16,0,999.81,53.240125
03/10/2016,29.34,44.75,1.9,0,1000.11,45.88004166
04/10/2016,29.44,47.75,2,0,999.29,37.318125
05/10/2016,29.42,52.25,1.33,0,998.41,35.30833333
06/10/2016,28.94,59.75,1.33,0,998.36,13.79220833
07/10/2016,28.3,61.5,0.96,0,998.46,30.76629166
08/10/2016,28.38,55,1.56,0,999.78,50.17966666
09/10/2016,28.34,49.5,1.33,0,1000.47,51.31633333
10/10/2016,28.92,54.25,1.33,0,1000.37,47.04020833
11/10/2016,29.12,47.75,1.9,0,999.4,37.96504166
12/10/2016,29.16,48.75,1,0,1000.13,44.4715
13/10/2016,28.7,57.5,2,0,1001.65,51.01783333
14/10/2016,28.96,53,2.66,0,1002.05,43.61775
15/10/2016,29.2,53.5,1.5,0,1000.86,46.355875
16/10/2016,29.36,53,1.83,0,999.55,47.26795652
17/10/2016,29.04,51,1.4,0,1000.31,51.444
18/10/2016,28.46,61.5,0.83,0,1001.13,42.52333333
19/10/2016,29.16,61.5,1.33,0,999.4,42.12679166
20/10/2016,29.3,57.25,1.16,0,999.02,42.064375
21/10/2016,28.72,61.75,1.16,0,999.11,41.53870833
22/10/2016,28.88,57.5,2.1,0.2,999.38,48.25266666
23/10/2016,29.44,50.75,1.16,0,1000.33,51.73154166
24/10/2016,29.18,50.5,1.66,0,1000.2,60.6715
25/10/2016,28.3,59.75,1.3,0,999.01,43.19166666
26/10/2016,29,57,1,0,997.85,49.83695833
27/10/2016,28.48,57.5,1.5,0,998.02,54.33529166
28/10/2016,29.12,50.75,1.33,0,999.14,56.765625
29/10/2016,28.84,57.75,1.66,0,1000.95,60.59
30/10/2016,28.86,58.25,1.83,0,1000.66,42.86433333
31/10/2016,28.62,52.25,1.16,0,999.7,45.65770833
01/11/2016,28.92,55.5,2,2.3580661075481006,1003.205704386091,54.78208333
02/11/2016,29.32,51.5,2.16,2.3580661075481006,999.55,55.649375
03/11/2016,29.82,51.75,2.33,0,1000.44,45.004625
04/11/2016,30.16,50.75,2.66,2.3580661075481006,1000.61,54.3805
05/11/2016,29.66,55.75,1.4,2.3580661075481006,1000.55,55.807
06/11/2016,29.38,56.75,1.4,2.3580661075481006,999.48,58.299125
07/11/2016,29.26,61,1.33,2.3580661075481006,998.86,56.300625
08/11/2016,29.68,56.5,1.4,0,999.5,59.305375
09/11/2016,29.38,60.75,2,2.3580661075481006,1003.205704386091,55.21466666
10/11/2016,28.7,55.25,2,0.2,1000.64,57.81104166
11/11/2016,28.94,52,1.5,2.3580661075481006,998.55,60.46520833
12/11/2016,28.96,55.5,1.66,0,998.04,52.54570833
13/11/2016,28.82,55.5,1.5,2.3580661075481006,996.98,3.58879166
14/11/2016,28.5,61.75,1.33,2.3580661075481006,996.37,0.2245
15/11/2016,28.94,61.5,1.33,0,997.28,37.66983333
16/11/2016,28.5,63.75,2.5,2.3580661075481006,1003.205704386091,41.57041666
17/11/2016,28.96,60,0.83,2.3580661075481006,997.83,49.054
18/11/2016,28.72,58.5,1.5,2.3580661075481006,996.46,51.07895833
19/11/2016,28.3,62,1.06,0,998.06,43.65979166
20/11/2016,28.32,63,0.9,2.3580661075481006,998.18,51.34720833
21/11/2016,29.08,55.75,2,2.3580661075481006,998.76,50.72645833
22/11/2016,28.88,55.75,1.33,2.3580661075481006,998.06,56.16020833
23/11/2016,28.72,56,1.66,2.3580661075481006,998.4,49.15416666
24/11/2016,29.1,52.75,2.83,2.3580661075481006,999.51,57.3785
25/11/2016,29.6,50.25,1.16,2.3580661075481006,999.27,54.1105
26/11/2016,28.88,52.5,1.83,2.3580661075481006,999.01,68.981
27/11/2016,29.28,49,2.16,2.3580661075481006,999.35,47.90895833
28/11/2016,29.36,53.75,1.33,2.3580661075481006,999.07,46.99941666
29/11/2016,29.02,60.25,1.33,2.3580661075481006,998.53,58.80704166
30/11/2016,28.96,55.75,1.03,2.3580661075481006,999.02,51.92558333
01/12/2016,28.86,65,2,2.3580661075481006,999.79,49.65020833
02/12/2016,28.98,70,2.25,2.3580661075481006,1000.16,44.49516666
03/12/2016,28.96,60,2,2.3580661075481006,999.47,55.29570833
04/12/2016,29,65,1.25,2.3580661075481006,998.98,52.22566666
05/12/2016,28.94,66,2,2.3580661075481006,999.6,50.20033333
06/12/2016,29.44,64,1.25,2.3580661075481006,1000.04,56.300875
07/12/2016,29.02,71,1.5,2.3580661075481006,999.21,41.43504166
08/12/2016,28.86,72,1.75,2.3580661075481006,999.18,31.49283333
09/12/2016,29.14,67,1.75,2.3580661075481006,999,35.861
10/12/2016,29.16,66,1,2.3580661075481006,999.09,43.80041666
11/12/2016,29.22,64,1.5,2.3580661075481006,1003.205704386091,47.801375
12/12/2016,28.88,71,2,2.3580661075481006,1003.205704386091,48.50329166
13/12/2016,28.68,69,1,0,999.02,45.16008333
14/12/2016,28.58,63,1.75,2.3580661075481006,1003.205704386091,41.26208333
15/12/2016,28.36,65,0.75,2.3580661075481006,1000.24,46.07858333
16/12/2016,28.82,73,0.75,0,1000.94,37.51716666
17/12/2016,28.92,73,1.25,2.3580661075481006,1003.205704386091,44.96858333
18/12/2016,26,83,1.5,2.3580661075481006,1003.205704386091,11.79725
19/12/2016,28.08,66,0.75,2.3580661075481006,1003.205704386091,9.47525
20/12/2016,29.44,65,1,0,998.39,35.58683333
21/12/2016,28.8,68,1.75,2.3580661075481006,1003.205704386091,38.442125
22/12/2016,27.92,83,0.75,0.2,997.96,32.44933333
23/12/2016,29.44,64,1,2.3580661075481006,997.53,38.119375
24/12/2016,28.78,66,1.5,2.3580661075481006,997.74,41.19145833
25/12/2016,28.92,69,1.25,0,997.91,46.496125
26/12/2016,29.14,66,0.75,2.3580661075481006,998.17,46.52920833
27/12/2016,29.64,64,1.75,2.3580661075481006,998.82,50.932875
28/12/2016,29.8,61,1.5,0,999.45,52.36283333
29/12/2016,27.58,87,1.25,2.3580661075481006,1003.205704386091,25.267
30/12/2016,28.88,68,1,2.3580661075481006,1003.205704386091,33.84395833
31/12/2016,29.48,57.75,1.9,0,999.32,33.68729166
01/01/2017,29.92,58.25,1.83,2.3580661075481006,999.04,36.89391666
02/01/2017,29.16,65.75,1,2.3580661075481006,1003.205704386091,26.33066666
03/01/2017,26.18,89.5,0.66,2.3580661075481006,999.66,14.55166666
04/01/2017,27.76,70.87581010732539,0.6,2.3580661075481006,1003.205704386091,34.05504166
05/01/2017,28.06,68,1.5,2.3580661075481006,999.75,28.9275
06/01/2017,28.2,66.75,1.16,2.3580661075481006,998.99,28.33729166
07/01/2017,28.54,60.75,0.9,2.3580661075481006,999.92,25.50633333
08/01/2017,27.78,68.75,1.16,2.3580661075481006,999.41,29.72425
09/01/2017,28.02,67.25,1.16,2.3580661075481006,999.6,23.85079166
10/01/2017,28.6,66.25,1.7,2.3580661075481006,998.93,35.61925
11/01/2017,25.44,90.25,0.5,2.3580661075481006,999.7,9.51341666
12/01/2017,27.72,68.25,0.6,2.3580661075481006,1003.205704386091,24.91420833
13/01/2017,28.4,56.5,1.16,2.3580661075481006,997.99,37.53529166
14/01/2017,28.24,59,1.83,2.3580661075481006,998.26,25.63045833
15/01/2017,28.66,64.75,1.5,2.3580661075481006,998.78,28.2385
16/01/2017,27.86,72.25,0.73,2.3580661075481006,1003.205704386091,30.88483333
17/01/2017,28.4,63.75,1.5,2.3580661075481006,998.44,40.77654166
18/01/2017,27.92,81.5,0.4,2.3580661075481006,998.72,7.632375
19/01/2017,26.04,83,0.83,2.3580661075481006,999.74,1.08979166
20/01/2017,26.66,80.5,0.33,2.3580661075481006,1003.205704386091,8.513625
21/01/2017,28.18,65.5,0.83,2.3580661075481006,1000.07,34.067875
22/01/2017,26.9,89.25,0.53,2.3580661075481006,999.89,25.20504166
23/01/2017,27.2,78.75,1.33,2.3580661075481006,999.93,39.47566666
24/01/2017,28.72,68,0.93,2.3580661075481006,1000.27,24.30841666
25/01/2017,27.42,71.25,0.83,2.3580661075481006,1001.06,20.96104166
26/01/2017,27.36,87.25,1.26,2.3580661075481006,1001.75,21.41170833
27/01/2017,26.96,78,0.83,2.3580661075481006,1001.79,28.58141666
28/01/2017,26.62,78,1,2.3580661075481006,1001.6,30.23520833
29/01/2017,27.68,77.75,0.66,2.3580661075481006,1000.86,36.76229166
30/01/2017,27.94,63.25,0.8,2.3580661075481006,1000.18,25.2505
31/01/2017,25.96,81.5,0.66,2.3580661075481006,1000.69,20.32570833
01/02/2017,26.7,85.25,0.63,2.3580661075481006,1000.12,21.73366666
02/02/2017,28.14,72,0.83,2.3580661075481006,999.22,28.8345
03/02/2017,28.36,67.75,1.4,2.3580661075481006,999.71,38.06216666
04/02/2017,28.2,62.25,0.9,2.3580661075481006,999.55,36.83025
05/02/2017,28.68,66,0.6,2.3580661075481006,998.98,22.996875
06/02/2017,28.08,78.5,1,2.3580661075481006,998.88,28.10341666
07/02/2017,28.38,71.5,0.73,2.3580661075481006,998.29,25.596875
08/02/2017,27.38,82,1.16,2.3580661075481006,999.18,14.52920833
09/02/2017,26.78,92.75,0.33,2.3580661075481006,999.13,15.93841666
10/02/2017,26.46,91,0.83,2.3580661075481006,999.1,12.21975
11/02/2017,23.8,97,0.5,2.3580661075481006,1003.205704386091,2.94270833
12/02/2017,25.7,83.5,0.83,2.3580661075481006,1003.205704386091,1.46154166
13/02/2017,26.1,84.5,0.76,2.3580661075481006,998.54,18.1085
14/02/2017,25.44,90,0.66,2.3580661075481006,1000.5,5.36083333
15/02/2017,26.64,84.5,0.53,2.3580661075481006,1001.03,18.541875
16/02/2017,26.96,76.75,0.5,2.3580661075481006,1001.18,13.90916666
17/02/2017,26.34,93.25,1.13,2.3580661075481006,1000.84,2.237125
18/02/2017,25.46,92.5,0.4,2.3580661075481006,1001.88,0.76916666
19/02/2017,24.44,95.75,1.6,2.3580661075481006,1001.93,4.12454166
20/02/2017,24.88,92.75,0.66,2.3580661075481006,1003.205704386091,20.41866666
21/02/2017,25.5,94,0.33,2.3580661075481006,1000.64,18.53695833
22/02/2017,27.18,77,1.33,2.3580661075481006,999.81,30.75004166
23/02/2017,27.16,77,0.733333,2.3580661075481006,1000.06,16.90629166
24/02/2017,26.34,91.25,0.66,2.3580661075481006,1000.09,20.81708333
